C;Ursa Minor;16.76615597;82
20.37047223;40.2566815;20.69053151;45.28033423	
20.37047223;40.2566815;20.77012006;33.96945334	
20.77012006;33.96945334;21.21560598;30.22708128	
20.37047223;40.2566815;19.93844337;35.08349079	
19.93844337;35.08349079;19.51202368;27.9596948
C;Hercules;16.71492737;38.92246103
17.24412845;14.39025314;16.50368379;21.4896485	
16.50368379;21.4896485;16.36534546;19.15302185	
16.50368379;21.4896485;16.68818808;31.60188695	
16.68818808;31.60188695;16.71492737;38.92246103	
16.71492737;38.92246103;16.5683859;42.43689565	
16.5683859;42.43689565;16.3290133;46.31327084
16.3290133;46.31327084;16.14616647;44.93481883	
16.68818808;31.60188695;17.00483505;30.92633926	
17.00483505;30.92633926;17.25053449;24.83958739	
17.25053449;24.83958739;17.512305;26.1106045	
17.512305;26.1106045;17.77436636;27.72249917	
17.77436636;27.72249917;17.96273073;29.24792527	
17.96273073;29.24792527;18.12570854;28.76247025	
17.00483505;30.92633926;17.25079285;36.80915527	
16.71492737;38.92246103;17.25079285;36.80915527	
17.25079285;36.80915527;17.39471468;37.14592396	
17.39471468;37.14592396;17.93754959;37.25052158	
17.93754959;37.25052158;17.65774789;46.00632216	
C;Bootes;14.53051606;30.37114497
13.91142116;18.39858742;14.2612076;19.18726997	
14.2612076;19.18726997;14.32925578;16.30680118	
14.2612076;19.18726997;14.53051606;30.37114497	
14.53051606;30.37114497;14.53465494;38.30788348	
14.53465494;38.30788348;15.03244253;40.39063671	
15.03244253;40.39063671;15.25836216;33.31510222	
15.25836216;33.31510222;14.74979191;27.07417383	
14.74979191;27.07417383;14.2612076;19.18726997	
C;Corona Borealis;15.57810819;26.71491041
15.5488322;31.35915517;15.46384775;29.10549164
15.46384775;29.10549164;15.57810819;26.71491041	
15.57810819;26.71491041;15.71239951;26.29551419	
15.71239951;26.29551419;15.82658278;26.06854936	
15.82658278;26.06854936;15.95980608;26.87802632	
C;Virgo;13.16583667;-5.53892987
13.41989015;-11.16124491;14.21492805;-10.274044	
13.41989015;-11.16124491;13.5782652;-0.59593821	
13.41989015;-11.16124491;13.16583667;-5.53892987	
13.16583667;-5.53892987;12.69444503;-1.44952231	
12.69444503;-1.44952231;12.33177539;-0.66674709	
12.33177539;-0.66674709;11.8448017;1.76537705	
12.69444503;-1.44952231;12.92680091;3.39759862	
12.92680091;3.39759862;13.03632237;10.95910186	
12.92680091;3.39759862;13.5782652;-0.59593821	
13.5782652;-0.59593821;14.02743976;1.54458338	
14.02743976;1.54458338;14.77083106;1.8929383
11.8448017;1.76537705;11.75472355;8.25817475	
11.75472355;8.25817475;12.08685266;8.73284563	
12.08685266;8.73284563;12.69444503;-1.44952231	
C;Leo;10.3328227;19.84186032
11.81774398;14.57233687;11.23511447;20.52403384	
11.23511447;20.52403384;11.23734469;15.4297631	
11.23734469;15.4297631;10.5468542;9.30659431	
11.23734469;15.4297631;11.39871355;10.52969772	
11.23734469;15.4297631;10.12220929;16.76266572	
11.39871355;10.52969772;11.35229115;6.02935289	
10.12220929;16.76266572;10.3328227;19.84186032	
10.3328227;19.84186032;11.0388281;20.17974575	
11.0388281;20.17974575;11.23511447;20.52403384	
10.13957205;11.96719513;10.12220929;16.76266572	
10.12220929;16.76266572;9.68586607;9.89239902	
10.12220929;16.76266572;9.76419511;23.77427792	
