30Eps And;;0.64263868;29.312369;4.34;G5III...
;;0.65274638;49.35459528;5.45;K5III
31Del And;;0.65544371;30.86122579;3.27;K3III...
54    Psc;;0.6561374;21.2513739;5.88;K0V
;;0.66442077;-44.79633326;6;K1IIICN...
55    Psc;;0.66543164;21.4385644;5.36;F3V...
;;0.67351556;-59.45568115;5.89;G1V
18Alp Cas;Shedir;0.67510756;56.53740928;2.24;K0II-IIIvar
;;0.6784392;-4.35180551;5.9;K0III
32    And;;0.68533204;39.45867141;5.3;G8III
Mu  Phe;;0.68877111;-46.08500934;4.59;G8III
Xi  Phe;;0.69619497;-56.50145475;5.72;Ap
;;0.70095437;66.14761311;5.83;G9III-IV
19Xi  Cas;;0.70107895;50.51254151;4.8;B2.5V
Rho Tuc;;0.70786031;-65.46813002;5.38;F6V
;;0.7115666;-60.26268184;5.99;K5III
Eta Phe;;0.72256778;-57.46309763;4.36;A0IV
20Pi  Cas;;0.72446964;47.02463657;4.95;A5V
16Bet Cet;Diphda;0.7264523;-17.9866841;2.04;K0III
17Phi1Cet;;0.73650151;-10.60927365;4.77;K0IIIvar
Lam2Scl;;0.73664316;-38.42197898;5.9;K1III
;;0.7406184;47.863963;5.66;B5V...
22Omi Cas;;0.74541725;48.28438262;4.48;B5III
;;0.74567703;-22.00633247;5.22;F0V
;;0.74920103;-42.67632489;5.94;A7V
;;0.75477874;55.2214087;5.41;A2Vs
21    Cas;;0.76086424;74.9881262;5.64;A2IV
;;0.76262055;-47.55217573;5.8;G5IV
;;0.76989701;-22.52206718;5.49;G8/K0III
57    Psc;;0.77582666;15.47561194;5.36;M4III
58    Psc;;0.78372955;11.97393464;5.51;G8II
34Zet And;;0.78899727;24.26737703;4.08;K1II
60    Psc;;0.78989538;6.74098135;5.98;G8III
;;0.79533382;-18.06142264;5.7;K3III
23    Cas;;0.79611658;74.84758739;5.42;B8III
;;0.8002919;-21.72247464;5.57;B9V
;;0.80246541;72.67445774;5.86;K0IV
62    Psc;;0.8048179;7.29991977;5.92;G8III
;96 G. Psc;0.80625919;5.28338873;5.74;K2V
Lam Hyi;;0.80975515;-74.92335356;5.09;K5III
63Del Psc;;0.81135982;7.58520186;4.44;K5III
25Nu  Cas;;0.81388703;50.96819154;4.9;B9III
64    Psc;;0.81630825;16.9411337;5.07;F8V...
24Eta Cas;Achird;0.8180835;57.8165477;3.46;G0V SB
;;0.82052734;-24.13652681;5.9;K0III
;;0.82376491;-13.56101709;5.59;K3III
35Nu  And;;0.83023048;41.07895474;4.53;B5V SB
65    Psc;;0.8314191;27.71031105;5.55;F5III+...
19Phi2Cet;;0.83547899;-10.64377045;5.17;F7IV-V
Rho Phe;;0.84475779;-50.98692422;5.24;F2III
;;0.84543679;64.24758084;5.35;A4V comp SB
;;0.8779447;-24.00592567;5.47;K1III
20    Cet;;0.88346958;-1.1442206;4.78;M0III
;;0.88452203;61.12355735;4.8;F8V
;;0.89382743;-62.87135327;5.73;M4III
66    Psc;;0.90978333;19.18843611;5.8;A1Vn
